# X Y Z RRGGBB
0 0 0 5a5a5e
0 0 1 5a5a5e
0 1 0 5a5a5e
0 1 1 5a5a5e
0 2 0 5a5a5e
0 2 1 5a5a5e
0 3 0 5a5a5e
0 3 1 5a5a5e
0 4 0 5a5a5e
0 4 1 5a5a5e
0 5 0 5a5a5e
0 5 1 5a5a5e
0 6 0 5a5a5e
0 6 1 5a5a5e
0 7 0 5a5a5e
0 7 1 5a5a5e
0 8 0 5a5a5e
0 8 1 5a5a5e
0 9 0 5a5a5e
0 9 1 5a5a5e
0 10 0 5a5a5e
0 10 1 5a5a5e
0 11 0 5a5a5e
0 11 1 5a5a5e
0 12 0 5a5a5e
0 12 1 5a5a5e
0 13 0 5a5a5e
0 13 1 5a5a5e
0 14 0 5a5a5e
0 14 1 5a5a5e
0 15 0 5a5a5e
0 15 1 5a5a5e
0 16 0 5a5a5e
0 16 1 5a5a5e
0 17 0 5a5a5e
0 17 1 5a5a5e
0 18 0 5a5a5e
0 18 1 5a5a5e
0 19 0 5a5a5e
0 19 1 5a5a5e
0 20 0 5a5a5e
0 20 1 5a5a5e
0 21 0 5a5a5e
0 21 1 5a5a5e
0 22 0 5a5a5e
0 22 1 5a5a5e
0 23 0 5a5a5e
0 23 1 5a5a5e
0 24 0 5a5a5e
0 24 1 5a5a5e
0 25 0 5a5a5e
0 25 1 5a5a5e
0 26 0 5a5a5e
0 26 1 5a5a5e
0 27 0 5a5a5e
0 27 1 5a5a5e
0 28 0 5a5a5e
0 28 1 5a5a5e
0 29 0 5a5a5e
0 29 1 5a5a5e
0 30 0 5a5a5e
0 30 1 5a5a5e
0 31 0 5a5a5e
0 31 1 5a5a5e
1 0 0 5a5a5e
1 0 1 5a5a5e
1 1 0 5a5a5e
1 1 1 5a5a5e
1 2 0 5a5a5e
1 2 1 5a5a5e
1 3 0 5a5a5e
1 3 1 5a5a5e
1 4 0 5a5a5e
1 4 1 5a5a5e
1 5 0 5a5a5e
1 5 1 5a5a5e
1 6 0 5a5a5e
1 6 1 5a5a5e
1 7 0 5a5a5e
1 7 1 5a5a5e
1 8 0 5a5a5e
1 8 1 5a5a5e
1 9 0 5a5a5e
1 9 1 5a5a5e
1 10 0 5a5a5e
1 10 1 5a5a5e
1 11 0 5a5a5e
1 11 1 5a5a5e
1 12 0 5a5a5e
1 12 1 5a5a5e
1 13 0 5a5a5e
1 13 1 5a5a5e
1 14 0 5a5a5e
1 14 1 5a5a5e
1 15 0 5a5a5e
1 15 1 5a5a5e
1 16 0 5a5a5e
1 16 1 5a5a5e
1 17 0 5a5a5e
1 17 1 5a5a5e
1 18 0 5a5a5e
1 18 1 5a5a5e
1 19 0 5a5a5e
1 19 1 5a5a5e
1 20 0 5a5a5e
1 20 1 5a5a5e
1 21 0 5a5a5e
1 21 1 5a5a5e
1 22 0 5a5a5e
1 22 1 5a5a5e
1 23 0 5a5a5e
1 23 1 5a5a5e
1 24 0 5a5a5e
1 24 1 5a5a5e
1 25 0 5a5a5e
1 25 1 5a5a5e
1 26 0 5a5a5e
1 26 1 5a5a5e
1 27 0 5a5a5e
1 27 1 5a5a5e
1 28 0 5a5a5e
1 28 1 5a5a5e
1 29 0 5a5a5e
1 29 1 5a5a5e
1 30 0 5a5a5e
1 30 1 5a5a5e
1 31 0 5a5a5e
1 31 1 5a5a5e
