# X Y Z RRGGBB
0 0 0 dcdcdc
0 0 1 dcdcdc
0 1 0 dcdcdc
0 1 1 dcdcdc
0 2 0 dcdcdc
0 2 1 dcdcdc
0 3 0 dcdcdc
0 3 1 dcdcdc
0 4 0 dcdcdc
0 4 1 dcdcdc
0 5 0 dcdcdc
0 5 1 dcdcdc
0 6 0 dcdcdc
0 6 1 dcdcdc
0 7 0 dcdcdc
0 7 1 dcdcdc
0 8 0 dcdcdc
0 8 1 dcdcdc
0 9 0 dcdcdc
0 9 1 dcdcdc
0 10 0 dcdcdc
0 10 1 dcdcdc
0 11 0 dcdcdc
0 11 1 dcdcdc
0 12 0 dcdcdc
0 12 1 dcdcdc
0 13 0 dcdcdc
0 13 1 dcdcdc
0 14 0 dcdcdc
0 14 1 dcdcdc
0 15 0 dcdcdc
0 15 1 dcdcdc
0 16 0 dcdcdc
0 16 1 dcdcdc
0 17 0 dcdcdc
0 17 1 dcdcdc
0 18 0 dcdcdc
0 18 1 dcdcdc
0 19 0 dcdcdc
0 19 1 dcdcdc
0 20 0 dcdcdc
0 20 1 dcdcdc
0 21 0 dcdcdc
0 21 1 dcdcdc
0 22 0 dcdcdc
0 22 1 dcdcdc
0 23 0 dcdcdc
0 23 1 dcdcdc
1 0 0 dcdcdc
1 0 1 dcdcdc
1 1 0 dcdcdc
1 1 1 dcdcdc
1 2 0 dcdcdc
1 2 1 dcdcdc
1 3 0 dcdcdc
1 3 1 dcdcdc
1 4 0 dcdcdc
1 4 1 dcdcdc
1 5 0 dcdcdc
1 5 1 dcdcdc
1 6 0 dcdcdc
1 6 1 dcdcdc
1 7 0 dcdcdc
1 7 1 dcdcdc
1 8 0 dcdcdc
1 8 1 dcdcdc
1 9 0 dcdcdc
1 9 1 dcdcdc
1 10 0 dcdcdc
1 10 1 dcdcdc
1 11 0 dcdcdc
1 11 1 dcdcdc
1 12 0 dcdcdc
1 12 1 dcdcdc
1 13 0 dcdcdc
1 13 1 dcdcdc
1 14 0 dcdcdc
1 14 1 dcdcdc
1 15 0 dcdcdc
1 15 1 dcdcdc
1 16 0 dcdcdc
1 16 1 dcdcdc
1 17 0 dcdcdc
1 17 1 dcdcdc
1 18 0 dcdcdc
1 18 1 dcdcdc
1 19 0 dcdcdc
1 19 1 dcdcdc
1 20 0 dcdcdc
1 20 1 dcdcdc
1 21 0 dcdcdc
1 21 1 dcdcdc
1 22 0 dcdcdc
1 22 1 dcdcdc
1 23 0 dcdcdc
1 23 1 dcdcdc
6 0 0 dcdcdc
6 0 1 dcdcdc
6 1 0 dcdcdc
6 1 1 dcdcdc
6 2 0 dcdcdc
6 2 1 dcdcdc
6 3 0 dcdcdc
6 3 1 dcdcdc
6 4 0 dcdcdc
6 4 1 dcdcdc
6 5 0 dcdcdc
6 5 1 dcdcdc
6 6 0 dcdcdc
6 6 1 dcdcdc
6 7 0 dcdcdc
6 7 1 dcdcdc
6 8 0 dcdcdc
6 8 1 dcdcdc
6 9 0 dcdcdc
6 9 1 dcdcdc
6 10 0 dcdcdc
6 10 1 dcdcdc
6 11 0 dcdcdc
6 11 1 dcdcdc
6 12 0 dcdcdc
6 12 1 dcdcdc
6 13 0 dcdcdc
6 13 1 dcdcdc
6 14 0 dcdcdc
6 14 1 dcdcdc
6 15 0 dcdcdc
6 15 1 dcdcdc
6 16 0 dcdcdc
6 16 1 dcdcdc
6 17 0 dcdcdc
6 17 1 dcdcdc
6 18 0 dcdcdc
6 18 1 dcdcdc
6 19 0 dcdcdc
6 19 1 dcdcdc
6 20 0 dcdcdc
6 20 1 dcdcdc
6 21 0 dcdcdc
6 21 1 dcdcdc
6 22 0 dcdcdc
6 22 1 dcdcdc
6 23 0 dcdcdc
6 23 1 dcdcdc
7 0 0 dcdcdc
7 0 1 dcdcdc
7 1 0 dcdcdc
7 1 1 dcdcdc
7 2 0 dcdcdc
7 2 1 dcdcdc
7 3 0 dcdcdc
7 3 1 dcdcdc
7 4 0 dcdcdc
7 4 1 dcdcdc
7 5 0 dcdcdc
7 5 1 dcdcdc
7 6 0 dcdcdc
7 6 1 dcdcdc
7 7 0 dcdcdc
7 7 1 dcdcdc
7 8 0 dcdcdc
7 8 1 dcdcdc
7 9 0 dcdcdc
7 9 1 dcdcdc
7 10 0 dcdcdc
7 10 1 dcdcdc
7 11 0 dcdcdc
7 11 1 dcdcdc
7 12 0 dcdcdc
7 12 1 dcdcdc
7 13 0 dcdcdc
7 13 1 dcdcdc
7 14 0 dcdcdc
7 14 1 dcdcdc
7 15 0 dcdcdc
7 15 1 dcdcdc
7 16 0 dcdcdc
7 16 1 dcdcdc
7 17 0 dcdcdc
7 17 1 dcdcdc
7 18 0 dcdcdc
7 18 1 dcdcdc
7 19 0 dcdcdc
7 19 1 dcdcdc
7 20 0 dcdcdc
7 20 1 dcdcdc
7 21 0 dcdcdc
7 21 1 dcdcdc
7 22 0 dcdcdc
7 22 1 dcdcdc
7 23 0 dcdcdc
7 23 1 dcdcdc
12 0 0 dcdcdc
12 0 1 dcdcdc
12 1 0 dcdcdc
12 1 1 dcdcdc
12 2 0 dcdcdc
12 2 1 dcdcdc
12 3 0 dcdcdc
12 3 1 dcdcdc
12 4 0 dcdcdc
12 4 1 dcdcdc
12 5 0 dcdcdc
12 5 1 dcdcdc
12 6 0 dcdcdc
12 6 1 dcdcdc
12 7 0 dcdcdc
12 7 1 dcdcdc
12 8 0 dcdcdc
12 8 1 dcdcdc
12 9 0 dcdcdc
12 9 1 dcdcdc
12 10 0 dcdcdc
12 10 1 dcdcdc
12 11 0 dcdcdc
12 11 1 dcdcdc
12 12 0 dcdcdc
12 12 1 dcdcdc
12 13 0 dcdcdc
12 13 1 dcdcdc
12 14 0 dcdcdc
12 14 1 dcdcdc
12 15 0 dcdcdc
12 15 1 dcdcdc
12 16 0 dcdcdc
12 16 1 dcdcdc
12 17 0 dcdcdc
12 17 1 dcdcdc
12 18 0 dcdcdc
12 18 1 dcdcdc
12 19 0 dcdcdc
12 19 1 dcdcdc
12 20 0 dcdcdc
12 20 1 dcdcdc
12 21 0 dcdcdc
12 21 1 dcdcdc
12 22 0 dcdcdc
12 22 1 dcdcdc
12 23 0 dcdcdc
12 23 1 dcdcdc
13 0 0 dcdcdc
13 0 1 dcdcdc
13 1 0 dcdcdc
13 1 1 dcdcdc
13 2 0 dcdcdc
13 2 1 dcdcdc
13 3 0 dcdcdc
