# X Y Z RRGGBB
0 0 0 dcdcdc
0 0 1 dcdcdc
0 0 2 dcdcdc
0 0 3 dcdcdc
0 0 4 dcdcdc
0 0 5 dcdcdc
0 0 6 dcdcdc
0 0 7 dcdcdc
0 0 8 dcdcdc
0 0 9 dcdcdc
0 0 10 dcdcdc
0 0 11 dcdcdc
0 0 12 dcdcdc
0 0 13 dcdcdc
0 0 14 dcdcdc
0 0 15 dcdcdc
0 1 0 dcdcdc
0 1 1 dcdcdc
0 1 2 dcdcdc
0 1 3 dcdcdc
0 1 4 dcdcdc
0 1 5 dcdcdc
0 1 6 dcdcdc
0 1 7 dcdcdc
0 1 8 dcdcdc
0 1 9 dcdcdc
0 1 10 dcdcdc
0 1 11 dcdcdc
0 1 12 dcdcdc
0 1 13 dcdcdc
0 1 14 dcdcdc
0 1 15 dcdcdc
1 0 0 dcdcdc
1 0 1 dcdcdc
1 0 2 dcdcdc
1 0 3 dcdcdc
1 0 4 dcdcdc
1 0 5 dcdcdc
1 0 6 dcdcdc
1 0 7 dcdcdc
1 0 8 dcdcdc
1 0 9 dcdcdc
1 0 10 dcdcdc
1 0 11 dcdcdc
1 0 12 dcdcdc
1 0 13 dcdcdc
1 0 14 dcdcdc
1 0 15 dcdcdc
1 1 0 dcdcdc
1 1 1 dcdcdc
1 1 2 dcdcdc
1 1 3 dcdcdc
1 1 4 dcdcdc
1 1 5 dcdcdc
1 1 6 dcdcdc
1 1 7 dcdcdc
1 1 8 dcdcdc
1 1 9 dcdcdc
1 1 10 dcdcdc
1 1 11 dcdcdc
1 1 12 dcdcdc
1 1 13 dcdcdc
1 1 14 dcdcdc
1 1 15 dcdcdc
2 0 0 dcdcdc
2 0 1 dcdcdc
2 0 2 dcdcdc
2 0 3 dcdcdc
2 0 4 dcdcdc
2 0 5 dcdcdc
2 0 6 dcdcdc
2 0 7 dcdcdc
2 0 8 dcdcdc
2 0 9 dcdcdc
2 0 10 dcdcdc
2 0 11 dcdcdc
2 0 12 dcdcdc
2 0 13 dcdcdc
2 0 14 dcdcdc
2 0 15 dcdcdc
2 1 0 dcdcdc
2 1 1 dcdcdc
2 1 2 dcdcdc
2 1 3 dcdcdc
2 1 4 dcdcdc
2 1 5 dcdcdc
2 1 6 dcdcdc
2 1 7 dcdcdc
2 1 8 dcdcdc
2 1 9 dcdcdc
2 1 10 dcdcdc
2 1 11 dcdcdc
2 1 12 dcdcdc
2 1 13 dcdcdc
2 1 14 dcdcdc
2 1 15 dcdcdc
3 0 0 dcdcdc
3 0 1 dcdcdc
3 0 2 dcdcdc
3 0 3 dcdcdc
3 0 4 dcdcdc
3 0 5 dcdcdc
3 0 6 dcdcdc
3 0 7 dcdcdc
3 0 8 dcdcdc
3 0 9 dcdcdc
3 0 10 dcdcdc
3 0 11 dcdcdc
3 0 12 dcdcdc
3 0 13 dcdcdc
3 0 14 dcdcdc
3 0 15 dcdcdc
3 1 0 dcdcdc
3 1 1 dcdcdc
3 1 2 dcdcdc
3 1 3 dcdcdc
3 1 4 dcdcdc
3 1 5 dcdcdc
3 1 6 dcdcdc
3 1 7 dcdcdc
3 1 8 dcdcdc
3 1 9 dcdcdc
3 1 10 dcdcdc
3 1 11 dcdcdc
3 1 12 dcdcdc
3 1 13 dcdcdc
3 1 14 dcdcdc
3 1 15 dcdcdc
4 0 0 dcdcdc
4 0 1 dcdcdc
4 0 2 dcdcdc
4 0 3 dcdcdc
4 0 4 dcdcdc
4 0 5 dcdcdc
4 0 6 dcdcdc
4 0 7 dcdcdc
4 0 8 dcdcdc
4 0 9 dcdcdc
4 0 10 dcdcdc
4 0 11 dcdcdc
4 0 12 dcdcdc
4 0 13 dcdcdc
4 0 14 dcdcdc
4 0 15 dcdcdc
4 1 0 dcdcdc
4 1 1 dcdcdc
4 1 2 dcdcdc
4 1 3 dcdcdc
4 1 4 dcdcdc
4 1 5 dcdcdc
4 1 6 dcdcdc
4 1 7 dcdcdc
4 1 8 dcdcdc
4 1 9 dcdcdc
4 1 10 dcdcdc
4 1 11 dcdcdc
4 1 12 dcdcdc
4 1 13 dcdcdc
4 1 14 dcdcdc
4 1 15 dcdcdc
5 0 0 dcdcdc
5 0 1 dcdcdc
5 0 2 dcdcdc
5 0 3 dcdcdc
5 0 4 dcdcdc
5 0 5 dcdcdc
5 0 6 dcdcdc
5 0 7 dcdcdc
5 0 8 dcdcdc
5 0 9 dcdcdc
5 0 10 dcdcdc
5 0 11 dcdcdc
5 0 12 dcdcdc
5 0 13 dcdcdc
5 0 14 dcdcdc
5 0 15 dcdcdc
5 1 0 dcdcdc
5 1 1 dcdcdc
5 1 2 dcdcdc
5 1 3 dcdcdc
5 1 4 dcdcdc
5 1 5 dcdcdc
5 1 6 dcdcdc
5 1 7 dcdcdc
5 1 8 dcdcdc
5 1 9 dcdcdc
5 1 10 dcdcdc
5 1 11 dcdcdc
5 1 12 dcdcdc
5 1 13 dcdcdc
5 1 14 dcdcdc
5 1 15 dcdcdc
6 0 0 dcdcdc
6 0 1 dcdcdc
6 0 2 dcdcdc
6 0 3 dcdcdc
6 0 4 dcdcdc
6 0 5 dcdcdc
6 0 6 dcdcdc
6 0 7 dcdcdc
6 0 8 dcdcdc
6 0 9 dcdcdc
6 0 10 dcdcdc
6 0 11 dcdcdc
6 0 12 dcdcdc
6 0 13 dcdcdc
6 0 14 dcdcdc
6 0 15 dcdcdc
6 1 0 dcdcdc
6 1 1 dcdcdc
6 1 2 dcdcdc
6 1 3 dcdcdc
6 1 4 dcdcdc
6 1 5 dcdcdc
6 1 6 dcdcdc
6 1 7 dcdcdc
6 1 8 dcdcdc
6 1 9 dcdcdc
6 1 10 dcdcdc
6 1 11 dcdcdc
6 1 12 dcdcdc
6 1 13 dcdcdc
6 1 14 dcdcdc
6 1 15 dcdcdc
7 0 0 dcdcdc
7 0 1 dcdcdc
7 0 2 dcdcdc
7 0 3 dcdcdc
7 0 4 dcdcdc
7 0 5 dcdcdc
7 0 6 dcdcdc
7 0 7 dcdcdc
7 0 8 dcdcdc
7 0 9 dcdcdc
7 0 10 dcdcdc
7 0 11 dcdcdc
7 0 12 dcdcdc
7 0 13 dcdcdc
7 0 14 dcdcdc
7 0 15 dcdcdc
7 1 0 dcdcdc
7 1 1 dcdcdc
7 1 2 dcdcdc
7 1 3 dcdcdc
7 1 4 dcdcdc
7 1 5 dcdcdc
7 1 6 dcdcdc
