# X Y Z RRGGBB
0 0 0 a2814d
0 0 1 a2814d
0 1 0 a2814d
0 1 1 a2814d
0 2 0 a2814d
0 2 1 a2814d
0 3 0 a2814d
0 3 1 a2814d
0 4 0 a2814d
0 4 1 a2814d
0 5 0 a2814d
0 5 1 a2814d
0 6 0 a2814d
0 6 1 a2814d
0 7 0 a2814d
0 7 1 a2814d
0 8 0 a2814d
0 8 1 a2814d
0 9 0 a2814d
0 9 1 a2814d
0 10 0 a2814d
0 10 1 a2814d
0 11 0 a2814d
0 11 1 a2814d
0 12 0 a2814d
0 12 1 a2814d
0 13 0 a2814d
0 13 1 a2814d
0 14 0 a2814d
0 14 1 a2814d
0 15 0 a2814d
0 15 1 a2814d
0 16 0 a2814d
0 16 1 a2814d
0 17 0 a2814d
0 17 1 a2814d
0 18 0 a2814d
0 18 1 a2814d
0 19 0 a2814d
0 19 1 a2814d
0 20 0 a2814d
0 20 1 a2814d
0 21 0 a2814d
0 21 1 a2814d
0 22 0 a2814d
0 22 1 a2814d
0 23 0 a2814d
0 23 1 a2814d
0 24 0 a2814d
0 24 1 a2814d
0 25 0 a2814d
0 25 1 a2814d
0 26 0 a2814d
0 26 1 a2814d
0 27 0 a2814d
0 27 1 a2814d
0 28 0 a2814d
0 28 1 a2814d
0 29 0 a2814d
0 29 1 a2814d
1 0 0 a2814d
1 0 1 a2814d
1 1 0 a2814d
1 1 1 a2814d
1 2 0 a2814d
1 2 1 a2814d
1 3 0 a2814d
1 3 1 a2814d
1 4 0 a2814d
1 4 1 a2814d
1 5 0 a2814d
1 5 1 a2814d
1 6 0 a2814d
1 6 1 a2814d
1 7 0 a2814d
1 7 1 a2814d
1 8 0 a2814d
1 8 1 a2814d
1 9 0 a2814d
1 9 1 a2814d
1 10 0 a2814d
1 10 1 a2814d
1 11 0 a2814d
1 11 1 a2814d
1 12 0 a2814d
1 12 1 a2814d
1 13 0 a2814d
1 13 1 a2814d
1 14 0 a2814d
1 14 1 a2814d
1 15 0 a2814d
1 15 1 a2814d
1 16 0 a2814d
1 16 1 a2814d
1 17 0 a2814d
1 17 1 a2814d
1 18 0 a2814d
1 18 1 a2814d
1 19 0 a2814d
1 19 1 a2814d
1 20 0 a2814d
1 20 1 a2814d
1 21 0 a2814d
1 21 1 a2814d
1 22 0 a2814d
1 22 1 a2814d
1 23 0 a2814d
1 23 1 a2814d
1 24 0 a2814d
1 24 1 a2814d
1 25 0 a2814d
1 25 1 a2814d
1 26 0 a2814d
1 26 1 a2814d
1 27 0 a2814d
1 27 1 a2814d
1 28 0 a2814d
1 28 1 a2814d
1 29 0 a2814d
1 29 1 a2814d
13 0 0 a2814d
13 0 1 a2814d
13 1 0 a2814d
13 1 1 a2814d
13 2 0 a2814d
13 2 1 a2814d
13 3 0 a2814d
13 3 1 a2814d
13 4 0 a2814d
13 4 1 a2814d
13 5 0 a2814d
13 5 1 a2814d
13 6 0 a2814d
13 6 1 a2814d
13 7 0 a2814d
13 7 1 a2814d
13 8 0 a2814d
13 8 1 a2814d
13 9 0 a2814d
13 9 1 a2814d
13 10 0 a2814d
13 10 1 a2814d
13 11 0 a2814d
13 11 1 a2814d
13 12 0 a2814d
13 12 1 a2814d
13 13 0 a2814d
13 13 1 a2814d
13 14 0 a2814d
13 14 1 a2814d
13 15 0 a2814d
13 15 1 a2814d
13 16 0 a2814d
13 16 1 a2814d
13 17 0 a2814d
13 17 1 a2814d
13 18 0 a2814d
13 18 1 a2814d
13 19 0 a2814d
13 19 1 a2814d
13 20 0 a2814d
13 20 1 a2814d
13 21 0 a2814d
13 21 1 a2814d
13 22 0 a2814d
13 22 1 a2814d
13 23 0 a2814d
13 23 1 a2814d
13 24 0 a2814d
13 24 1 a2814d
13 25 0 a2814d
13 25 1 a2814d
13 26 0 a2814d
13 26 1 a2814d
13 27 0 a2814d
13 27 1 a2814d
13 28 0 a2814d
13 28 1 a2814d
13 29 0 a2814d
13 29 1 a2814d
