# X Y Z RRGGBB
0 0 0 4a4a4a
0 0 1 4a4a4a
0 0 2 4a4a4a
0 0 3 4a4a4a
0 0 4 4a4a4a
0 0 5 4a4a4a
0 0 6 4a4a4a
0 0 7 4a4a4a
0 1 0 4a4a4a
0 1 1 4a4a4a
0 1 2 4a4a4a
0 1 3 4a4a4a
0 1 4 4a4a4a
0 1 5 4a4a4a
0 1 6 4a4a4a
0 1 7 4a4a4a
0 2 0 4a4a4a
0 2 1 4a4a4a
0 2 2 4a4a4a
0 2 3 4a4a4a
0 2 4 4a4a4a
0 2 5 4a4a4a
0 2 6 4a4a4a
0 2 7 4a4a4a
0 3 0 4a4a4a
0 3 1 4a4a4a
0 3 2 4a4a4a
0 3 3 4a4a4a
0 3 4 4a4a4a
0 3 5 4a4a4a
0 3 6 4a4a4a
0 3 7 4a4a4a
0 4 0 4a4a4a
0 4 1 4a4a4a
0 4 2 4a4a4a
0 4 3 4a4a4a
0 4 4 4a4a4a
0 4 5 4a4a4a
0 4 6 4a4a4a
0 4 7 4a4a4a
0 5 0 4a4a4a
0 5 1 4a4a4a
0 5 2 4a4a4a
0 5 3 4a4a4a
0 5 4 4a4a4a
0 5 5 4a4a4a
0 5 6 4a4a4a
0 5 7 4a4a4a
0 6 0 4a4a4a
0 6 1 4a4a4a
0 6 2 4a4a4a
0 6 3 4a4a4a
0 6 4 4a4a4a
0 6 5 4a4a4a
0 6 6 4a4a4a
0 6 7 4a4a4a
0 7 0 4a4a4a
0 7 1 4a4a4a
0 7 2 4a4a4a
0 7 3 4a4a4a
0 7 4 4a4a4a
0 7 5 4a4a4a
0 7 6 4a4a4a
0 7 7 4a4a4a
0 8 0 4a4a4a
0 8 1 4a4a4a
0 8 2 4a4a4a
0 8 3 4a4a4a
0 8 4 4a4a4a
0 8 5 4a4a4a
0 8 6 4a4a4a
0 8 7 4a4a4a
0 9 0 4a4a4a
0 9 1 4a4a4a
0 9 2 4a4a4a
0 9 3 4a4a4a
0 9 4 4a4a4a
0 9 5 4a4a4a
0 9 6 4a4a4a
0 9 7 4a4a4a
1 0 0 4a4a4a
1 0 1 4a4a4a
1 0 2 4a4a4a
1 0 3 4a4a4a
1 0 4 4a4a4a
1 0 5 4a4a4a
1 0 6 4a4a4a
1 0 7 4a4a4a
1 1 0 4a4a4a
1 1 7 4a4a4a
1 2 0 4a4a4a
1 2 7 4a4a4a
1 3 0 4a4a4a
1 3 7 4a4a4a
1 4 0 4a4a4a
1 4 7 4a4a4a
1 5 0 4a4a4a
1 5 7 4a4a4a
1 6 0 4a4a4a
1 6 7 4a4a4a
1 7 0 4a4a4a
1 7 7 4a4a4a
1 8 0 4a4a4a
