# X Y Z RRGGBB
0 0 0 a2814d
0 0 1 a2814d
0 0 2 a2814d
0 0 3 a2814d
0 0 4 a2814d
0 0 5 a2814d
0 0 6 a2814d
0 0 7 a2814d
0 0 8 a2814d
0 0 9 a2814d
0 0 10 a2814d
0 0 11 a2814d
0 1 0 a2814d
0 1 1 a2814d
0 1 2 a2814d
0 1 3 a2814d
0 1 4 a2814d
0 1 5 a2814d
0 1 6 a2814d
0 1 7 a2814d
0 1 8 a2814d
0 1 9 a2814d
0 1 10 a2814d
0 1 11 a2814d
0 2 0 a2814d
0 2 1 a2814d
0 2 2 a2814d
0 2 3 a2814d
0 2 4 a2814d
0 2 5 a2814d
0 2 6 a2814d
0 2 7 a2814d
0 2 8 a2814d
0 2 9 a2814d
0 2 10 a2814d
0 2 11 a2814d
0 3 0 a2814d
0 3 1 a2814d
0 3 2 a2814d
0 3 3 a2814d
0 3 4 a2814d
0 3 5 a2814d
0 3 6 a2814d
0 3 7 a2814d
0 3 8 a2814d
0 3 9 a2814d
0 3 10 a2814d
0 3 11 a2814d
0 4 0 a2814d
0 4 1 a2814d
0 4 2 a2814d
0 4 3 a2814d
0 4 4 a2814d
0 4 5 a2814d
0 4 6 a2814d
0 4 7 a2814d
0 4 8 a2814d
0 4 9 a2814d
0 4 10 a2814d
0 4 11 a2814d
0 5 0 a2814d
0 5 1 a2814d
0 5 2 a2814d
0 5 3 a2814d
0 5 4 a2814d
0 5 5 a2814d
0 5 6 a2814d
0 5 7 a2814d
0 5 8 a2814d
0 5 9 a2814d
0 5 10 a2814d
0 5 11 a2814d
0 6 0 a2814d
0 6 1 a2814d
0 6 2 a2814d
0 6 3 a2814d
0 6 4 a2814d
0 6 5 a2814d
0 6 6 a2814d
0 6 7 a2814d
0 6 8 a2814d
0 6 9 a2814d
0 6 10 a2814d
0 6 11 a2814d
0 7 0 a2814d
0 7 1 a2814d
0 7 2 a2814d
0 7 3 a2814d
0 7 4 a2814d
0 7 5 a2814d
0 7 6 a2814d
0 7 7 a2814d
0 7 8 a2814d
0 7 9 a2814d
0 7 10 a2814d
0 7 11 a2814d
0 8 0 a2814d
0 8 1 a2814d
0 8 2 a2814d
0 8 3 a2814d
0 8 4 a2814d
0 8 5 a2814d
0 8 6 a2814d
0 8 7 a2814d
0 8 8 a2814d
0 8 9 a2814d
0 8 10 a2814d
0 8 11 a2814d
0 9 0 a2814d
0 9 1 a2814d
0 9 2 a2814d
0 9 3 a2814d
0 9 4 a2814d
0 9 5 a2814d
0 9 6 a2814d
0 9 7 a2814d
0 9 8 a2814d
0 9 9 a2814d
0 9 10 a2814d
0 9 11 a2814d
0 10 0 a2814d
0 10 1 a2814d
0 10 2 a2814d
0 10 3 a2814d
0 10 4 a2814d
0 10 5 a2814d
0 10 6 a2814d
0 10 7 a2814d
0 10 8 a2814d
0 10 9 a2814d
0 10 10 a2814d
0 10 11 a2814d
0 11 0 a2814d
0 11 1 a2814d
0 11 2 a2814d
0 11 3 a2814d
0 11 4 a2814d
0 11 5 a2814d
0 11 6 a2814d
0 11 7 a2814d
0 11 8 a2814d
0 11 9 a2814d
0 11 10 a2814d
0 11 11 a2814d
0 12 0 a2814d
0 12 1 a2814d
0 12 2 a2814d
0 12 3 a2814d
0 12 4 a2814d
0 12 5 a2814d
0 12 6 a2814d
0 12 7 a2814d
0 12 8 a2814d
0 12 9 a2814d
0 12 10 a2814d
0 12 11 a2814d
0 13 0 a2814d
0 13 1 a2814d
0 13 2 a2814d
0 13 3 a2814d
0 13 4 a2814d
0 13 5 a2814d
0 13 6 a2814d
0 13 7 a2814d
0 13 8 a2814d
0 13 9 a2814d
0 13 10 a2814d
0 13 11 a2814d
0 14 0 a2814d
0 14 1 a2814d
0 14 2 a2814d
0 14 3 a2814d
0 14 4 a2814d
0 14 5 a2814d
0 14 6 a2814d
0 14 7 a2814d
0 14 8 a2814d
0 14 9 a2814d
0 14 10 a2814d
0 14 11 a2814d
