# X Y Z RRGGBB
0 0 0 a2814d
0 0 1 a2814d
0 0 2 a2814d
0 0 3 a2814d
0 1 0 a2814d
0 1 1 a2814d
0 1 2 a2814d
0 1 3 a2814d
0 2 0 a2814d
0 2 1 a2814d
0 2 2 a2814d
0 2 3 a2814d
0 3 0 a2814d
0 3 1 a2814d
0 3 2 a2814d
0 3 3 a2814d
0 4 0 a2814d
0 4 1 a2814d
0 4 2 a2814d
0 4 3 a2814d
0 5 0 a2814d
0 5 1 a2814d
0 5 2 a2814d
0 5 3 a2814d
0 6 0 a2814d
0 6 1 a2814d
0 6 2 a2814d
0 6 3 a2814d
0 7 0 a2814d
0 7 1 a2814d
0 7 2 a2814d
0 7 3 a2814d
0 8 0 a2814d
0 8 1 a2814d
0 8 2 a2814d
0 8 3 a2814d
0 9 0 a2814d
0 9 1 a2814d
0 9 2 a2814d
0 9 3 a2814d
0 10 0 a2814d
0 10 1 a2814d
0 10 2 a2814d
0 10 3 a2814d
0 11 0 a2814d
0 11 1 a2814d
0 11 2 a2814d
0 11 3 a2814d
0 12 0 a2814d
0 12 1 a2814d
0 12 2 a2814d
0 12 3 a2814d
0 13 0 a2814d
0 13 1 a2814d
0 13 2 a2814d
0 13 3 a2814d
0 14 0 a2814d
0 14 1 a2814d
0 14 2 a2814d
0 14 3 a2814d
0 15 0 a2814d
0 15 1 a2814d
0 15 2 a2814d
0 15 3 a2814d
0 16 0 a2814d
0 16 1 a2814d
0 16 2 a2814d
0 16 3 a2814d
0 17 0 a2814d
0 17 1 a2814d
0 17 2 a2814d
0 17 3 a2814d
0 18 0 a2814d
0 18 1 a2814d
0 18 2 a2814d
0 18 3 a2814d
0 19 0 a2814d
0 19 1 a2814d
0 19 2 a2814d
0 19 3 a2814d
0 20 0 a2814d
0 20 1 a2814d
0 20 2 a2814d
0 20 3 a2814d
0 21 0 a2814d
0 21 1 a2814d
0 21 2 a2814d
0 21 3 a2814d
0 22 0 a2814d
0 22 1 a2814d
0 22 2 a2814d
0 22 3 a2814d
0 23 0 a2814d
0 23 1 a2814d
0 23 2 a2814d
0 23 3 a2814d
1 0 0 a2814d
1 0 1 a2814d
1 0 2 a2814d
1 0 3 a2814d
1 1 0 a2814d
1 1 1 a2814d
1 1 2 a2814d
1 1 3 a2814d
1 2 0 a2814d
1 2 1 a2814d
1 2 2 a2814d
1 2 3 a2814d
1 3 0 a2814d
1 3 1 a2814d
1 3 2 a2814d
1 3 3 a2814d
1 4 0 a2814d
1 4 1 a2814d
1 4 2 a2814d
1 4 3 a2814d
1 5 0 a2814d
1 5 1 a2814d
1 5 2 a2814d
1 5 3 a2814d
1 6 0 a2814d
1 6 1 a2814d
1 6 2 a2814d
1 6 3 a2814d
1 7 0 a2814d
1 7 1 a2814d
1 7 2 a2814d
1 7 3 a2814d
1 8 0 a2814d
1 8 1 a2814d
1 8 2 a2814d
1 8 3 a2814d
1 9 0 a2814d
1 9 1 a2814d
1 9 2 a2814d
1 9 3 a2814d
1 10 0 a2814d
1 10 1 a2814d
1 10 2 a2814d
1 10 3 a2814d
1 11 0 a2814d
1 11 1 a2814d
1 11 2 a2814d
1 11 3 a2814d
1 12 0 a2814d
1 12 1 a2814d
1 12 2 a2814d
1 12 3 a2814d
1 13 0 a2814d
1 13 1 a2814d
1 13 2 a2814d
1 13 3 a2814d
1 14 0 a2814d
1 14 1 a2814d
1 14 2 a2814d
1 14 3 a2814d
1 15 0 a2814d
1 15 1 a2814d
1 15 2 a2814d
1 15 3 a2814d
1 16 0 a2814d
1 16 1 a2814d
1 16 2 a2814d
1 16 3 a2814d
1 17 0 a2814d
1 17 1 a2814d
1 17 2 a2814d
1 17 3 a2814d
1 18 0 a2814d
1 18 1 a2814d
1 18 2 a2814d
1 18 3 a2814d
1 19 0 a2814d
1 19 1 a2814d
1 19 2 a2814d
1 19 3 a2814d
1 20 0 a2814d
1 20 1 a2814d
1 20 2 a2814d
1 20 3 a2814d
