# X Y Z RRGGBB
0 0 0 dcdcdc
0 0 1 dcdcdc
0 0 2 dcdcdc
0 0 3 dcdcdc
0 1 0 dcdcdc
0 1 1 dcdcdc
0 1 2 dcdcdc
0 1 3 dcdcdc
0 2 0 dcdcdc
0 2 1 dcdcdc
0 2 2 dcdcdc
0 2 3 dcdcdc
0 3 0 dcdcdc
0 3 1 dcdcdc
0 3 2 dcdcdc
0 3 3 dcdcdc
0 4 0 dcdcdc
0 4 1 dcdcdc
0 4 2 dcdcdc
0 4 3 dcdcdc
0 5 0 dcdcdc
0 5 1 dcdcdc
0 5 2 dcdcdc
0 5 3 dcdcdc
0 6 0 dcdcdc
0 6 1 dcdcdc
0 6 2 dcdcdc
0 6 3 dcdcdc
0 7 0 dcdcdc
0 7 1 dcdcdc
0 7 2 dcdcdc
0 7 3 dcdcdc
0 8 0 dcdcdc
0 8 1 dcdcdc
0 8 2 dcdcdc
0 8 3 dcdcdc
0 9 0 dcdcdc
0 9 1 dcdcdc
0 9 2 dcdcdc
0 9 3 dcdcdc
0 10 0 dcdcdc
0 10 1 dcdcdc
0 10 2 dcdcdc
0 10 3 dcdcdc
0 11 0 dcdcdc
0 11 1 dcdcdc
0 11 2 dcdcdc
0 11 3 dcdcdc
0 12 0 dcdcdc
0 12 1 dcdcdc
0 12 2 dcdcdc
0 12 3 dcdcdc
0 13 0 dcdcdc
0 13 1 dcdcdc
0 13 2 dcdcdc
0 13 3 dcdcdc
0 14 0 dcdcdc
0 14 1 dcdcdc
0 14 2 dcdcdc
0 14 3 dcdcdc
0 15 0 dcdcdc
0 15 1 dcdcdc
0 15 2 dcdcdc
0 15 3 dcdcdc
0 16 0 dcdcdc
0 16 1 dcdcdc
0 16 2 dcdcdc
0 16 3 dcdcdc
0 17 0 dcdcdc
0 17 1 dcdcdc
0 17 2 dcdcdc
0 17 3 dcdcdc
0 18 0 dcdcdc
0 18 1 dcdcdc
0 18 2 dcdcdc
0 18 3 dcdcdc
0 19 0 dcdcdc
0 19 1 dcdcdc
0 19 2 dcdcdc
0 19 3 dcdcdc
0 20 0 dcdcdc
0 20 1 dcdcdc
0 20 2 dcdcdc
0 20 3 dcdcdc
0 21 0 dcdcdc
0 21 1 dcdcdc
0 21 2 dcdcdc
0 21 3 dcdcdc
0 22 0 dcdcdc
0 22 1 dcdcdc
0 22 2 dcdcdc
0 22 3 dcdcdc
0 23 0 dcdcdc
0 23 1 dcdcdc
0 23 2 dcdcdc
0 23 3 dcdcdc
0 24 0 dcdcdc
0 24 1 dcdcdc
0 24 2 dcdcdc
0 24 3 dcdcdc
0 25 0 dcdcdc
0 25 1 dcdcdc
0 25 2 dcdcdc
0 25 3 dcdcdc
0 26 0 dcdcdc
0 26 1 dcdcdc
0 26 2 dcdcdc
0 26 3 dcdcdc
0 27 0 dcdcdc
0 27 1 dcdcdc
0 27 2 dcdcdc
0 27 3 dcdcdc
0 28 0 dcdcdc
0 28 1 dcdcdc
0 28 2 dcdcdc
0 28 3 dcdcdc
0 29 0 dcdcdc
0 29 1 dcdcdc
0 29 2 dcdcdc
0 29 3 dcdcdc
0 30 0 dcdcdc
0 30 1 dcdcdc
0 30 2 dcdcdc
0 30 3 dcdcdc
0 31 0 dcdcdc
0 31 1 dcdcdc
0 31 2 dcdcdc
0 31 3 dcdcdc
0 32 0 dcdcdc
0 32 1 dcdcdc
0 32 2 dcdcdc
0 32 3 dcdcdc
0 33 0 dcdcdc
0 33 1 dcdcdc
0 33 2 dcdcdc
0 33 3 dcdcdc
0 34 0 dcdcdc
0 34 1 dcdcdc
0 34 2 dcdcdc
0 34 3 dcdcdc
0 35 0 dcdcdc
0 35 1 dcdcdc
0 35 2 dcdcdc
0 35 3 dcdcdc
0 36 0 dcdcdc
0 36 1 dcdcdc
0 36 2 dcdcdc
0 36 3 dcdcdc
0 37 0 dcdcdc
0 37 1 dcdcdc
0 37 2 dcdcdc
0 37 3 dcdcdc
0 38 0 dcdcdc
0 38 1 dcdcdc
0 38 2 dcdcdc
0 38 3 dcdcdc
0 39 0 dcdcdc
0 39 1 dcdcdc
0 39 2 dcdcdc
0 39 3 dcdcdc
0 40 0 dcdcdc
0 40 1 dcdcdc
0 40 2 dcdcdc
0 40 3 dcdcdc
0 41 0 dcdcdc
0 41 1 dcdcdc
0 41 2 dcdcdc
0 41 3 dcdcdc
0 42 0 dcdcdc
0 42 1 dcdcdc
0 42 2 dcdcdc
0 42 3 dcdcdc
0 43 0 dcdcdc
0 43 1 dcdcdc
0 43 2 dcdcdc
0 43 3 dcdcdc
0 44 0 dcdcdc
0 44 1 dcdcdc
0 44 2 dcdcdc
0 44 3 dcdcdc
0 45 0 dcdcdc
0 45 1 dcdcdc
0 45 2 dcdcdc
0 45 3 dcdcdc
0 46 0 dcdcdc
0 46 1 dcdcdc
0 46 2 dcdcdc
0 46 3 dcdcdc
0 47 0 dcdcdc
0 47 1 dcdcdc
0 47 2 dcdcdc
0 47 3 dcdcdc
0 48 0 dcdcdc
0 48 1 dcdcdc
0 48 2 dcdcdc
0 48 3 dcdcdc
0 49 0 dcdcdc
0 49 1 dcdcdc
0 49 2 dcdcdc
0 49 3 dcdcdc
0 50 0 dcdcdc
0 50 1 dcdcdc
0 50 2 dcdcdc
0 50 3 dcdcdc
0 51 0 dcdcdc
0 51 1 dcdcdc
0 51 2 dcdcdc
0 51 3 dcdcdc
0 52 0 dcdcdc
0 52 1 dcdcdc
0 52 2 dcdcdc
0 52 3 dcdcdc
0 53 0 dcdcdc
0 53 1 dcdcdc
0 53 2 dcdcdc
0 53 3 dcdcdc
0 54 0 dcdcdc
0 54 1 dcdcdc
0 54 2 dcdcdc
0 54 3 dcdcdc
0 55 0 dcdcdc
0 55 1 dcdcdc
0 55 2 dcdcdc
0 55 3 dcdcdc
0 56 0 dcdcdc
0 56 1 dcdcdc
0 56 2 dcdcdc
0 56 3 dcdcdc
0 57 0 dcdcdc
0 57 1 dcdcdc
0 57 2 dcdcdc
0 57 3 dcdcdc
0 58 0 dcdcdc
0 58 1 dcdcdc
0 58 2 dcdcdc
0 58 3 dcdcdc
0 59 0 dcdcdc
0 59 1 dcdcdc
0 59 2 dcdcdc
0 59 3 dcdcdc
0 60 0 dcdcdc
0 60 1 dcdcdc
0 60 2 dcdcdc
0 60 3 dcdcdc
0 61 0 dcdcdc
0 61 1 dcdcdc
0 61 2 dcdcdc
