# X Y Z RRGGBB
0 0 0 7d7d7d
0 0 1 7d7d7d
0 0 2 7d7d7d
0 0 3 7d7d7d
0 0 4 7d7d7d
0 0 5 7d7d7d
0 0 6 7d7d7d
0 0 7 7d7d7d
0 0 8 7d7d7d
0 0 9 7d7d7d
0 0 10 7d7d7d
0 0 11 7d7d7d
0 0 12 7d7d7d
0 0 13 7d7d7d
1 0 0 7d7d7d
1 0 1 7d7d7d
1 0 2 7d7d7d
1 0 3 7d7d7d
1 0 4 7d7d7d
1 0 5 7d7d7d
1 0 6 7d7d7d
1 0 7 7d7d7d
1 0 8 7d7d7d
1 0 9 7d7d7d
1 0 10 7d7d7d
1 0 11 7d7d7d
1 0 12 7d7d7d
1 0 13 7d7d7d
2 0 0 7d7d7d
2 0 1 7d7d7d
2 0 2 7d7d7d
2 0 3 7d7d7d
2 0 4 7d7d7d
2 0 5 7d7d7d
2 0 6 7d7d7d
2 0 7 7d7d7d
2 0 8 7d7d7d
2 0 9 7d7d7d
2 0 10 7d7d7d
2 0 11 7d7d7d
2 0 12 7d7d7d
2 0 13 7d7d7d
3 0 0 7d7d7d
3 0 1 7d7d7d
3 0 2 7d7d7d
3 0 3 7d7d7d
3 0 4 7d7d7d
3 0 5 7d7d7d
3 0 6 7d7d7d
3 0 7 7d7d7d
3 0 8 7d7d7d
3 0 9 7d7d7d
3 0 10 7d7d7d
3 0 11 7d7d7d
3 0 12 7d7d7d
3 0 13 7d7d7d
4 0 0 7d7d7d
4 0 1 7d7d7d
4 0 2 7d7d7d
4 0 3 7d7d7d
4 0 4 7d7d7d
4 0 5 7d7d7d
4 0 6 7d7d7d
4 0 7 7d7d7d
4 0 8 7d7d7d
4 0 9 7d7d7d
4 0 10 7d7d7d
4 0 11 7d7d7d
4 0 12 7d7d7d
4 0 13 7d7d7d
5 0 0 7d7d7d
5 0 1 7d7d7d
5 0 2 7d7d7d
5 0 3 7d7d7d
5 0 4 7d7d7d
5 0 5 7d7d7d
5 0 6 7d7d7d
5 0 7 7d7d7d
5 0 8 7d7d7d
5 0 9 7d7d7d
5 0 10 7d7d7d
5 0 11 7d7d7d
5 0 12 7d7d7d
5 0 13 7d7d7d
6 0 0 7d7d7d
6 0 1 7d7d7d
6 0 2 7d7d7d
6 0 3 7d7d7d
6 0 4 7d7d7d
6 0 5 7d7d7d
6 0 6 7d7d7d
6 0 7 7d7d7d
6 0 8 7d7d7d
6 0 9 7d7d7d
6 0 10 7d7d7d
6 0 11 7d7d7d
6 0 12 7d7d7d
6 0 13 7d7d7d
7 0 0 7d7d7d
7 0 1 7d7d7d
7 0 2 7d7d7d
7 0 3 7d7d7d
7 0 4 7d7d7d
7 0 5 7d7d7d
7 0 6 7d7d7d
7 0 7 7d7d7d
7 0 8 7d7d7d
7 0 9 7d7d7d
7 0 10 7d7d7d
7 0 11 7d7d7d
7 0 12 7d7d7d
7 0 13 7d7d7d
8 0 0 7d7d7d
8 0 1 7d7d7d
8 0 2 7d7d7d
8 0 3 7d7d7d
8 0 4 7d7d7d
8 0 5 7d7d7d
8 0 6 7d7d7d
8 0 7 7d7d7d
8 0 8 7d7d7d
8 0 9 7d7d7d
8 0 10 7d7d7d
8 0 11 7d7d7d
8 0 12 7d7d7d
8 0 13 7d7d7d
9 0 0 7d7d7d
9 0 1 7d7d7d
9 0 2 7d7d7d
9 0 3 7d7d7d
9 0 4 7d7d7d
9 0 5 7d7d7d
9 0 6 7d7d7d
9 0 7 7d7d7d
9 0 8 7d7d7d
9 0 9 7d7d7d
9 0 10 7d7d7d
9 0 11 7d7d7d
9 0 12 7d7d7d
9 0 13 7d7d7d
10 0 0 7d7d7d
10 0 1 7d7d7d
10 0 2 7d7d7d
10 0 3 7d7d7d
10 0 4 7d7d7d
10 0 5 7d7d7d
10 0 6 7d7d7d
10 0 7 7d7d7d
10 0 8 7d7d7d
10 0 9 7d7d7d
10 0 10 7d7d7d
10 0 11 7d7d7d
10 0 12 7d7d7d
10 0 13 7d7d7d
11 0 0 7d7d7d
11 0 1 7d7d7d
11 0 2 7d7d7d
11 0 3 7d7d7d
11 0 4 7d7d7d
11 0 5 7d7d7d
11 0 6 7d7d7d
11 0 7 7d7d7d
11 0 8 7d7d7d
11 0 9 7d7d7d
11 0 10 7d7d7d
11 0 11 7d7d7d
11 0 12 7d7d7d
11 0 13 7d7d7d
12 0 0 7d7d7d
12 0 1 7d7d7d
12 0 2 7d7d7d
12 0 3 7d7d7d
12 0 4 7d7d7d
12 0 5 7d7d7d
12 0 6 7d7d7d
12 0 7 7d7d7d
12 0 8 7d7d7d
12 0 9 7d7d7d
12 0 10 7d7d7d
12 0 11 7d7d7d
12 0 12 7d7d7d
12 0 13 7d7d7d
13 0 0 7d7d7d
13 0 1 7d7d7d
13 0 2 7d7d7d
13 0 3 7d7d7d
13 0 4 7d7d7d
13 0 5 7d7d7d
13 0 6 7d7d7d
13 0 7 7d7d7d
13 0 8 7d7d7d
13 0 9 7d7d7d
13 0 10 7d7d7d
13 0 11 7d7d7d
13 0 12 7d7d7d
13 0 13 7d7d7d
