# X Y Z RRGGBB
0 0 0 6d5636
0 0 1 6d5636
0 1 0 6d5636
0 1 1 6d5636
0 2 0 6d5636
0 2 1 6d5636
0 3 0 6d5636
0 3 1 6d5636
0 4 0 6d5636
0 4 1 6d5636
0 5 0 6d5636
0 5 1 6d5636
0 6 0 6d5636
0 6 1 6d5636
0 7 0 6d5636
0 7 1 6d5636
0 8 0 6d5636
0 8 1 6d5636
0 9 0 6d5636
0 9 1 6d5636
0 10 0 6d5636
0 10 1 6d5636
0 11 0 6d5636
0 11 1 6d5636
0 12 0 6d5636
0 12 1 6d5636
0 13 0 6d5636
0 13 1 6d5636
0 14 0 6d5636
0 14 1 6d5636
0 15 0 6d5636
0 15 1 6d5636
1 0 0 6d5636
1 0 1 6d5636
1 1 0 6d5636
1 1 1 6d5636
1 2 0 6d5636
1 2 1 6d5636
1 3 0 6d5636
1 3 1 6d5636
1 4 0 6d5636
1 4 1 6d5636
1 5 0 6d5636
1 5 1 6d5636
1 6 0 6d5636
1 6 1 6d5636
1 7 0 6d5636
1 7 1 6d5636
1 8 0 6d5636
1 8 1 6d5636
1 9 0 6d5636
1 9 1 6d5636
1 10 0 6d5636
1 10 1 6d5636
1 11 0 6d5636
1 11 1 6d5636
1 12 0 6d5636
1 12 1 6d5636
1 13 0 6d5636
1 13 1 6d5636
1 14 0 6d5636
1 14 1 6d5636
1 15 0 6d5636
1 15 1 6d5636
-1 16 -1 ffb347
-1 16 0 ffb347
-1 16 1 ffb347
-1 16 2 ffb347
-1 17 -1 ffb347
-1 17 0 ffb347
-1 17 1 ffb347
-1 17 2 ffb347
-1 18 -1 ffb347
-1 18 0 ffb347
-1 18 1 ffb347
-1 18 2 ffb347
-1 19 -1 ffb347
-1 19 0 ffb347
-1 19 1 ffb347
-1 19 2 ffb347
0 16 -1 ffb347
0 16 0 ffb347
0 16 1 ffb347
0 16 2 ffb347
0 17 -1 ffb347
0 17 0 ffb347
0 17 1 ffb347
0 17 2 ffb347
0 18 -1 ffb347
0 18 0 ffb347
0 18 1 ffb347
0 18 2 ffb347
0 19 -1 ffb347
0 19 0 ffb347
0 19 1 ffb347
0 19 2 ffb347
1 16 -1 ffb347
1 16 0 ffb347
1 16 1 ffb347
1 16 2 ffb347
1 17 -1 ffb347
1 17 0 ffb347
1 17 1 ffb347
1 17 2 ffb347
1 18 -1 ffb347
1 18 0 ffb347
1 18 1 ffb347
1 18 2 ffb347
1 19 -1 ffb347
1 19 0 ffb347
1 19 1 ffb347
1 19 2 ffb347
2 16 -1 ffb347
2 16 0 ffb347
2 16 1 ffb347
2 16 2 ffb347
2 17 -1 ffb347
2 17 0 ffb347
2 17 1 ffb347
2 17 2 ffb347
2 18 -1 ffb347
2 18 0 ffb347
2 18 1 ffb347
2 18 2 ffb347
2 19 -1 ffb347
2 19 0 ffb347
2 19 1 ffb347
2 19 2 ffb347
